1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
"{'variance': 0.0006739144081845844, 'expectation': 0.5305965299292403, 'time': 1.4777953624725342}","{'variance': 0.0018228715358671905, 'expectation': 0.534087626698114, 'time': 2.435081720352173}","{'variance': 0.0018381809283893123, 'expectation': 0.5271274428754867, 'time': 3.4730641841888428}","{'variance': 0.0018392577944554157, 'expectation': 0.5362882174892805, 'time': 4.543411016464233}","{'variance': 0.0018424875865180872, 'expectation': 0.5379946913421486, 'time': 5.573703050613403}","{'variance': 0.0027801979828669583, 'expectation': 0.5381090961514107, 'time': 6.60145378112793}","{'variance': 0.0032173151119701516, 'expectation': 0.5368206770985602, 'time': 7.691333770751953}","{'variance': 0.003142525318910645, 'expectation': 0.5337953439430713, 'time': 8.71551513671875}","{'variance': 0.0034733371887375845, 'expectation': 0.5363222680046024, 'time': 9.788898706436157}","{'variance': 0.003543187254408933, 'expectation': 0.5342120477001945, 'time': 11.108638525009155}","{'variance': 0.004144481772898707, 'expectation': 0.5356773397645936, 'time': 11.897709846496582}","{'variance': 0.0042100323615058225, 'expectation': 0.5307728985580397, 'time': 12.938093423843384}","{'variance': 0.0037398668688131036, 'expectation': 0.5344725043350282, 'time': 13.996610641479492}","{'variance': 0.003829370815450968, 'expectation': 0.5313408799511845, 'time': 14.997331142425537}","{'variance': 0.004198156568197716, 'expectation': 0.5299583428442493, 'time': 16.34563398361206}","{'variance': 0.0036432912842368948, 'expectation': 0.5270520996848945, 'time': 17.215577125549316}","{'variance': 0.0037932158744372023, 'expectation': 0.5257650146293567, 'time': 18.080161809921265}","{'variance': 0.004504395204239136, 'expectation': 0.5264951793922067, 'time': 19.145244598388672}","{'variance': 0.004706058781947338, 'expectation': 0.526487624634758, 'time': 20.094088315963745}","{'variance': 0.004643932208670101, 'expectation': 0.5259453956879063, 'time': 21.136296272277832}","{'variance': 0.004568292714494992, 'expectation': 0.525152679256527, 'time': 22.22939920425415}","{'variance': 0.004677659459679753, 'expectation': 0.5234000789498443, 'time': 23.368422269821167}","{'variance': 0.004564618259549797, 'expectation': 0.521661341180191, 'time': 24.377060651779175}","{'variance': 0.004662078351347469, 'expectation': 0.5214331212712484, 'time': 25.438239812850952}","{'variance': 0.00460114700756531, 'expectation': 0.5194610870490581, 'time': 26.493762731552124}","{'variance': 0.004735665212959591, 'expectation': 0.5148784931215428, 'time': 27.533313512802124}","{'variance': 0.005138023459699495, 'expectation': 0.5159234879214272, 'time': 28.671465396881104}","{'variance': 0.005372838810827546, 'expectation': 0.5178759962947672, 'time': 30.35761547088623}","{'variance': 0.005590540846985395, 'expectation': 0.5129127229540126, 'time': 31.33696699142456}","{'variance': 0.005188200776758016, 'expectation': 0.5135513451720086, 'time': 32.3051438331604}","{'variance': 0.005019654423394846, 'expectation': 0.5099315258095133, 'time': 33.59879684448242}","{'variance': 0.005017107191058094, 'expectation': 0.5116930989513798, 'time': 34.52012825012207}","{'variance': 0.005114789946858819, 'expectation': 0.516568594717484, 'time': 35.54556393623352}","{'variance': 0.005235010068482606, 'expectation': 0.5153335416725865, 'time': 36.59050893783569}","{'variance': 0.0054503859040646715, 'expectation': 0.5143284838848069, 'time': 37.2091338634491}","{'variance': 0.005620544944795627, 'expectation': 0.5165388367482148, 'time': 38.1043860912323}","{'variance': 0.0047878310436866335, 'expectation': 0.5128144187386942, 'time': 39.12556743621826}","{'variance': 0.0050585794470363755, 'expectation': 0.5124708111093839, 'time': 40.31007981300354}","{'variance': 0.00483506812476802, 'expectation': 0.5132498539738608, 'time': 41.08303475379944}","{'variance': 0.004896396334468995, 'expectation': 0.5128251384012937, 'time': 42.394100189208984}"
"{'variance': 0.0017516678408977296, 'expectation': 0.5495506320665551, 'time': 1.1534790992736816}","{'variance': 0.0036048268830304563, 'expectation': 0.5433576801565081, 'time': 1.964522361755371}","{'variance': 0.003059084985571195, 'expectation': 0.5370665637621275, 'time': 2.814080238342285}","{'variance': 0.00393703724712065, 'expectation': 0.5348376201396813, 'time': 3.6174004077911377}","{'variance': 0.004293681726774476, 'expectation': 0.5232871342294083, 'time': 4.401365041732788}","{'variance': 0.003411054481250322, 'expectation': 0.524696143040152, 'time': 5.278364896774292}","{'variance': 0.00415317373266121, 'expectation': 0.520478537397534, 'time': 6.055349588394165}","{'variance': 0.004526360306341195, 'expectation': 0.5130261085395948, 'time': 6.911679983139038}","{'variance': 0.004201201853642374, 'expectation': 0.510254105375584, 'time': 7.666684150695801}","{'variance': 0.0042178936066438, 'expectation': 0.5123114645903308, 'time': 8.548681259155273}","{'variance': 0.0039044911822954487, 'expectation': 0.5132253417509813, 'time': 9.388286352157593}","{'variance': 0.00401814586522216, 'expectation': 0.5112536586139199, 'time': 10.153269290924072}","{'variance': 0.004225466235679955, 'expectation': 0.5040745866381848, 'time': 10.967495203018188}","{'variance': 0.003993698736967867, 'expectation': 0.4996358425182191, 'time': 11.825186491012573}","{'variance': 0.004642736573312003, 'expectation': 0.496389126691396, 'time': 12.579439640045166}","{'variance': 0.004885765612438805, 'expectation': 0.4999124094778935, 'time': 13.477205038070679}","{'variance': 0.005151545272807138, 'expectation': 0.5045151323561632, 'time': 14.281885147094727}","{'variance': 0.004805694845167389, 'expectation': 0.49485547432737126, 'time': 15.021511793136597}","{'variance': 0.0041685271912906535, 'expectation': 0.48682671696293306, 'time': 15.76987338066101}","{'variance': 0.004421953985416665, 'expectation': 0.4873279350418149, 'time': 16.68410563468933}","{'variance': 0.005035348730635463, 'expectation': 0.4929397341673347, 'time': 17.36069965362549}","{'variance': 0.005764900893154838, 'expectation': 0.489208982977418, 'time': 18.321143627166748}","{'variance': 0.005907347022307513, 'expectation': 0.4874174272011533, 'time': 19.16140866279602}","{'variance': 0.005460585064407464, 'expectation': 0.4863609614616348, 'time': 20.10264754295349}","{'variance': 0.004417575941620246, 'expectation': 0.490678013118968, 'time': 21.02690815925598}","{'variance': 0.004973882866000799, 'expectation': 0.4894782972343757, 'time': 22.056501150131226}","{'variance': 0.005481231805793478, 'expectation': 0.49259605273684975, 'time': 22.787937879562378}","{'variance': 0.005221145018478852, 'expectation': 0.4898039801559614, 'time': 23.575406074523926}","{'variance': 0.005454963620047416, 'expectation': 0.4844443762237512, 'time': 24.536688327789307}","{'variance': 0.005302922267223476, 'expectation': 0.4814653500744371, 'time': 25.302176475524902}","{'variance': 0.005172368081547418, 'expectation': 0.4765750896974442, 'time': 26.21489977836609}","{'variance': 0.004914204662308895, 'expectation': 0.480929881475492, 'time': 27.042078256607056}","{'variance': 0.00518742731541306, 'expectation': 0.47717300532882784, 'time': 27.985373735427856}","{'variance': 0.005443368529114517, 'expectation': 0.4761602261932156, 'time': 28.719895601272583}","{'variance': 0.004833948574680525, 'expectation': 0.4699565496206701, 'time': 29.463640213012695}","{'variance': 0.005083337194109544, 'expectation': 0.47447526561106057, 'time': 30.481489419937134}","{'variance': 0.006073062919019942, 'expectation': 0.4698385969476195, 'time': 31.295604467391968}","{'variance': 0.005133105647679445, 'expectation': 0.47222852592169645, 'time': 32.04086899757385}","{'variance': 0.004766011466592632, 'expectation': 0.46889847934958134, 'time': 32.964577198028564}","{'variance': 0.004881984030809051, 'expectation': 0.468216124210664, 'time': 33.7182502746582}"
"{'variance': 0.0009759740127703512, 'expectation': 0.5306021977050283, 'time': 1.3964076042175293}","{'variance': 0.002711701858466081, 'expectation': 0.5202638735445428, 'time': 2.4027297496795654}","{'variance': 0.0028332946334080488, 'expectation': 0.5088305561237323, 'time': 3.407135248184204}","{'variance': 0.002695223129048645, 'expectation': 0.5033302283991868, 'time': 4.402140378952026}","{'variance': 0.0024731916207231604, 'expectation': 0.5027579204991038, 'time': 5.3750786781311035}","{'variance': 0.003313153934747219, 'expectation': 0.49857005927835707, 'time': 6.399116516113281}","{'variance': 0.0029832256674336742, 'expectation': 0.49422896683486905, 'time': 7.354283332824707}","{'variance': 0.0034568262561715853, 'expectation': 0.494467508506629, 'time': 8.398212671279907}","{'variance': 0.0033333144448904283, 'expectation': 0.4904970201664374, 'time': 9.466306686401367}","{'variance': 0.0029391718820452584, 'expectation': 0.48900816769573724, 'time': 10.40307092666626}","{'variance': 0.0029714544845560447, 'expectation': 0.48384311004546077, 'time': 11.523671865463257}","{'variance': 0.0031116021947948306, 'expectation': 0.48037195163069657, 'time': 12.51676893234253}","{'variance': 0.002902928405819671, 'expectation': 0.47916825046892486, 'time': 13.367921113967896}","{'variance': 0.003554988627103904, 'expectation': 0.4752074532320593, 'time': 14.611294031143188}","{'variance': 0.003043931538574691, 'expectation': 0.47464118292338175, 'time': 15.514157772064209}","{'variance': 0.003422029826531703, 'expectation': 0.47160269545784217, 'time': 16.46843433380127}","{'variance': 0.003552382992315745, 'expectation': 0.4736308656040756, 'time': 17.48925232887268}","{'variance': 0.00332026487581135, 'expectation': 0.47375463891540454, 'time': 18.426087617874146}","{'variance': 0.003801383355180056, 'expectation': 0.47368485320198944, 'time': 19.499292612075806}","{'variance': 0.0041132716738922605, 'expectation': 0.4677962661636726, 'time': 20.495142459869385}","{'variance': 0.0037798737190885266, 'expectation': 0.4673755254001331, 'time': 21.45967173576355}","{'variance': 0.003993915104606869, 'expectation': 0.4666934333067721, 'time': 22.526402711868286}","{'variance': 0.003720486798940756, 'expectation': 0.4619740739657933, 'time': 23.59523344039917}","{'variance': 0.0035087597736918373, 'expectation': 0.460982190480786, 'time': 24.37424612045288}","{'variance': 0.003688123535528058, 'expectation': 0.46000780590211077, 'time': 25.456865787506104}","{'variance': 0.00448029184070084, 'expectation': 0.4603358022278535, 'time': 26.559782028198242}","{'variance': 0.0036916652217384425, 'expectation': 0.45841967511884285, 'time': 27.491811275482178}","{'variance': 0.0039019286650134183, 'expectation': 0.45752596183432354, 'time': 28.62110137939453}","{'variance': 0.004166605628301475, 'expectation': 0.4610487166207113, 'time': 29.635151624679565}","{'variance': 0.004087853456821069, 'expectation': 0.4566437845046048, 'time': 30.72321057319641}","{'variance': 0.004430099846789412, 'expectation': 0.45693495157724484, 'time': 31.618574380874634}","{'variance': 0.004376633982098245, 'expectation': 0.4601219554346525, 'time': 32.624765157699585}","{'variance': 0.003788234535160306, 'expectation': 0.45644566756258004, 'time': 33.586885929107666}","{'variance': 0.003921602650330731, 'expectation': 0.4541202629071055, 'time': 34.51800775527954}","{'variance': 0.00412271432186791, 'expectation': 0.45764059704142634, 'time': 35.316388845443726}","{'variance': 0.003971433044804677, 'expectation': 0.45638880332059223, 'time': 36.15699505805969}","{'variance': 0.004363019573121665, 'expectation': 0.45579886296476957, 'time': 39.1624436378479}","{'variance': 0.003971999038134509, 'expectation': 0.457743054077064, 'time': 40.28899073600769}","{'variance': 0.004263576495112503, 'expectation': 0.45654315785156946, 'time': 39.71061182022095}","{'variance': 0.0038685758108242263, 'expectation': 0.45640379975775824, 'time': 40.703752517700195}"
"{'variance': 0.0006141473380426731, 'expectation': 0.521907278221979, 'time': 1.5855870246887207}","{'variance': 0.0019510484867434241, 'expectation': 0.5076617099915862, 'time': 2.771902561187744}","{'variance': 0.00163636283154348, 'expectation': 0.49506172888008704, 'time': 3.9165573120117188}","{'variance': 0.0014879674841437823, 'expectation': 0.4900565659336648, 'time': 5.079166412353516}","{'variance': 0.0014012984225348765, 'expectation': 0.48743791443923984, 'time': 6.226150274276733}","{'variance': 0.0020310591460829695, 'expectation': 0.47998343433883844, 'time': 7.355647802352905}","{'variance': 0.0023315093393965107, 'expectation': 0.4758346222132894, 'time': 8.474251747131348}","{'variance': 0.0023328764053248234, 'expectation': 0.4749689585247169, 'time': 9.628669738769531}","{'variance': 0.0020446286575336132, 'expectation': 0.47034163729963935, 'time': 10.958326578140259}","{'variance': 0.0020631151574261003, 'expectation': 0.4684285203574663, 'time': 12.054876327514648}","{'variance': 0.001937602967571444, 'expectation': 0.4634161778256891, 'time': 13.408002138137817}","{'variance': 0.0021078350894069577, 'expectation': 0.4589481517714464, 'time': 14.382176876068115}","{'variance': 0.0022883543980475856, 'expectation': 0.4574464457020415, 'time': 15.60488748550415}","{'variance': 0.0027669119200092974, 'expectation': 0.4526748608962392, 'time': 16.67799687385559}","{'variance': 0.0023664379366257994, 'expectation': 0.45298945984921846, 'time': 17.892521858215332}","{'variance': 0.0022258241829105616, 'expectation': 0.450689892443777, 'time': 18.979852437973022}","{'variance': 0.002524150414043154, 'expectation': 0.44967888802558065, 'time': 20.275113344192505}","{'variance': 0.002713155655724728, 'expectation': 0.4484619257833533, 'time': 21.448597192764282}","{'variance': 0.0029833177808869776, 'expectation': 0.4420761439266709, 'time': 22.77523183822632}","{'variance': 0.002874808749170508, 'expectation': 0.43947506959307886, 'time': 23.798032760620117}","{'variance': 0.0025799501109671024, 'expectation': 0.44067323123621427, 'time': 25.05389142036438}","{'variance': 0.002933063059683971, 'expectation': 0.4371381756811982, 'time': 26.279051542282104}","{'variance': 0.0027516954470238357, 'expectation': 0.43391031114712575, 'time': 27.34296226501465}","{'variance': 0.002803676304011702, 'expectation': 0.4330521256082729, 'time': 28.164093494415283}","{'variance': 0.0028688176711568715, 'expectation': 0.4345790083453579, 'time': 29.409062147140503}","{'variance': 0.0029780308150691966, 'expectation': 0.4320428161085231, 'time': 30.466468572616577}","{'variance': 0.003543733544539855, 'expectation': 0.4307813459869914, 'time': 31.577375173568726}","{'variance': 0.0035115001820177575, 'expectation': 0.42579197132457536, 'time': 33.26895189285278}","{'variance': 0.003596094772088601, 'expectation': 0.42669526368650473, 'time': 34.092700481414795}","{'variance': 0.0035805347264946585, 'expectation': 0.4255722436926607, 'time': 34.93452334403992}","{'variance': 0.003587197459025528, 'expectation': 0.4264409037694884, 'time': 36.173585414886475}","{'variance': 0.0035603301435527205, 'expectation': 0.42605773479780945, 'time': 37.241302251815796}","{'variance': 0.004130081553885021, 'expectation': 0.4235879465577765, 'time': 38.38296604156494}","{'variance': 0.004070491390493415, 'expectation': 0.42513079598775794, 'time': 39.501190185546875}","{'variance': 0.0037116318498093288, 'expectation': 0.4230250421801355, 'time': 40.71730303764343}","{'variance': 0.003879986912093623, 'expectation': 0.4186253116145434, 'time': 41.94663739204407}","{'variance': 0.0036988533040000935, 'expectation': 0.4217175702597885, 'time': 43.15621542930603}","{'variance': 0.003658374079806705, 'expectation': 0.4176999608473794, 'time': 44.224684715270996}","{'variance': 0.003903118109174179, 'expectation': 0.41997512505495393, 'time': 46.131351709365845}","{'variance': 0.0035232264670750474, 'expectation': 0.42148033862064566, 'time': 47.2307710647583}"
"{'variance': 0.0010617119540953818, 'expectation': 0.5380401338222082, 'time': 1.3356235027313232}","{'variance': 0.0024999203949804564, 'expectation': 0.5315354600469865, 'time': 2.3204610347747803}","{'variance': 0.002925665725316019, 'expectation': 0.5235772430221878, 'time': 3.2954580783843994}","{'variance': 0.0028990713479105784, 'expectation': 0.5183368097834297, 'time': 4.2914323806762695}","{'variance': 0.0023271378094770535, 'expectation': 0.520886888348962, 'time': 5.257635116577148}","{'variance': 0.0021025782546752383, 'expectation': 0.5133923920785599, 'time': 6.181292772293091}","{'variance': 0.0023802783058603024, 'expectation': 0.5075771415606964, 'time': 7.190381288528442}","{'variance': 0.0023460437263526264, 'expectation': 0.5125085069155942, 'time': 8.15768551826477}","{'variance': 0.002614733102434944, 'expectation': 0.5106584941262963, 'time': 9.191145420074463}","{'variance': 0.0029445518198937, 'expectation': 0.5091123624147749, 'time': 10.0922532081604}","{'variance': 0.002930540934032672, 'expectation': 0.5023680194987284, 'time': 11.197762727737427}","{'variance': 0.0027921308570011787, 'expectation': 0.5009974788711311, 'time': 12.149165630340576}","{'variance': 0.0026739033490060875, 'expectation': 0.5007548598621612, 'time': 13.245384454727173}","{'variance': 0.0025124252072894694, 'expectation': 0.4986948740034435, 'time': 14.15756630897522}","{'variance': 0.0025807830745744604, 'expectation': 0.4970932688310142, 'time': 15.157931566238403}","{'variance': 0.002712643786558583, 'expectation': 0.49681224401145313, 'time': 16.180097341537476}","{'variance': 0.003080181643990024, 'expectation': 0.4948735585380928, 'time': 17.038230180740356}","{'variance': 0.0026779162501598215, 'expectation': 0.496592481640389, 'time': 18.202044010162354}","{'variance': 0.002571640200833447, 'expectation': 0.4939875795038684, 'time': 19.08584189414978}","{'variance': 0.0028859666928798783, 'expectation': 0.4875323807159, 'time': 20.04573965072632}","{'variance': 0.002598811759123401, 'expectation': 0.4861943655038703, 'time': 21.086854219436646}","{'variance': 0.0028927672006622525, 'expectation': 0.48658471871616193, 'time': 22.12364912033081}","{'variance': 0.0034223429178614866, 'expectation': 0.4832752427659232, 'time': 23.204832077026367}","{'variance': 0.003471743686521583, 'expectation': 0.4881631938460786, 'time': 24.152915716171265}","{'variance': 0.0030253167386920447, 'expectation': 0.4794011438668553, 'time': 25.15471363067627}","{'variance': 0.003116872132303555, 'expectation': 0.48196408146217773, 'time': 26.159714221954346}","{'variance': 0.003023001396427793, 'expectation': 0.48292924653678904, 'time': 27.140753984451294}","{'variance': 0.0036020821398470167, 'expectation': 0.48583495491244627, 'time': 28.095678091049194}","{'variance': 0.0030799712249464507, 'expectation': 0.48381479428885465, 'time': 28.99624013900757}","{'variance': 0.002846401248626645, 'expectation': 0.4792611529125551, 'time': 30.06029462814331}","{'variance': 0.0033403161684107075, 'expectation': 0.4821323229993578, 'time': 31.151554346084595}","{'variance': 0.0035068719350085627, 'expectation': 0.48092236867146526, 'time': 32.15115141868591}","{'variance': 0.003617277910851555, 'expectation': 0.4797848650278387, 'time': 33.19726490974426}","{'variance': 0.003407623856660783, 'expectation': 0.48015862173968654, 'time': 34.027562379837036}","{'variance': 0.0036499919797177804, 'expectation': 0.4755919208174078, 'time': 35.154030561447144}","{'variance': 0.0033329526089133504, 'expectation': 0.47566731764861975, 'time': 36.08792471885681}","{'variance': 0.0033304133982645263, 'expectation': 0.47599917522771096, 'time': 37.10971260070801}","{'variance': 0.0034240521854824184, 'expectation': 0.47740037597585533, 'time': 37.991649866104126}","{'variance': 0.0037417936713243917, 'expectation': 0.4783467363104201, 'time': 38.93708086013794}","{'variance': 0.003659186666079282, 'expectation': 0.4775241569505858, 'time': 39.88693833351135}"
